seed_index,seed,n,t,trunc_bytes,hash_bits,pwd_length,successful_cracks,failed_cracks,total_time,success_rate,avg_time_per_crack,same,different,construction_time,notes,timestamp
0,1,100,200,5,40,7,0,100,2.575948715209961,0.0,0.025759487152099608,0,0,0.032182931900024414,OK,2025-10-19 22:05:29
1,123,100,200,5,40,7,0,100,2.628204584121704,0.0,0.02628204584121704,0,0,0.03170323371887207,OK,2025-10-19 22:05:31
2,999,100,200,5,40,7,0,100,2.5662434101104736,0.0,0.025662434101104737,0,0,0.03005361557006836,OK,2025-10-19 22:05:34
0,1,100,200,5,40,10,0,100,3.0163581371307373,0.0,0.030163581371307372,0,0,0.03629612922668457,OK,2025-10-19 22:05:36
1,123,100,200,5,40,10,0,100,2.974074125289917,0.0,0.02974074125289917,0,0,0.03564023971557617,OK,2025-10-19 22:05:40
2,999,100,200,5,40,10,0,100,3.016493797302246,0.0,0.03016493797302246,0,0,0.03507208824157715,OK,2025-10-19 22:05:43
0,1,100,200,6,48,5,0,100,2.3833653926849365,0.0,0.023833653926849364,0,0,0.02995920181274414,OK,2025-10-19 22:05:46
1,123,100,200,6,48,5,0,100,2.40226149559021,0.0,0.024022614955902098,0,0,0.030159950256347656,OK,2025-10-19 22:05:48
2,999,100,200,6,48,5,0,100,2.3546974658966064,0.0,0.023546974658966064,0,0,0.029743671417236328,OK,2025-10-19 22:05:50
0,1,100,200,6,48,7,0,100,2.6511411666870117,0.0,0.026511411666870117,0,0,0.032238006591796875,OK,2025-10-19 22:05:53
1,123,100,200,6,48,7,0,100,2.8996269702911377,0.0,0.028996269702911377,0,0,0.03143167495727539,OK,2025-10-19 22:05:55
2,999,100,200,6,48,7,0,100,2.7814981937408447,0.0,0.02781498193740845,0,0,0.03047323226928711,OK,2025-10-19 22:05:58
0,1,100,200,6,48,10,0,100,3.0578296184539795,0.0,0.030578296184539795,0,0,0.03201723098754883,OK,2025-10-19 22:06:01
1,123,100,200,6,48,10,0,100,3.096067190170288,0.0,0.03096067190170288,0,0,0.03182792663574219,OK,2025-10-19 22:06:04
2,999,100,200,6,48,10,0,100,3.197239875793457,0.0,0.03197239875793457,0,0,0.03354024887084961,OK,2025-10-19 22:06:07
0,1,100,300,4,32,5,0,100,5.185269594192505,0.0,0.05185269594192505,0,0,0.03827071189880371,OK,2025-10-19 22:06:11
